sessID	MsgID	Text	DialogAct
MUL1862	5	I have train TR9956 that departs at 15:59 and will get you there by 17:27. Would that work for you? 	Train-Inform(Id=TR9956;Arrive=17:27;Leave=15:59)
MUL1862	6	Yes, that would work. Can you book me 4 tickets please? 	Train-Inform(People=4)
MUL1862	10	what attractions do you have in the south?	Attraction-Inform(Area=south)
MUL1862	11	There is a lovely park, Wandlebury Country Park.  There is a great theatre on Clifton Way as well.  It is called The Junction.  Do either sound interesting?	Attraction-Inform(Addr=Clifton Way;Type=park;Type=theatre;Name=Wandlebury Country Park;Name=The Junction)
MUL1862	12	Can I get the postcode and entrance fee for The Junction?	Attraction-Request(Post;Fee)
MUL1862	14	No.  I think that's everything. Thank you for your help.	general-thank()
MUL1862	15	Thank you and enjoy your stay.	general-bye()
MUL1863	0	I'm looking for a place to visit.  Are there any attractions in town that are boats?	Attraction-Inform(Type=boat)
MUL1863	2	Nope, I just need the entrance fee, phone number, and address of your favorite one.	Attraction-Request(Phone;Fee;Addr)
MUL1863	4	No, but I'm interested in train information. Is there anything running from Peterborough on Wednesday?	Train-Inform(Depart=peterborough;Day=wednesday)
MUL1863	5	I can look that up, but let me confirm first.  Are you going from Peterborough to Cambridge or are you going to another city?	Train-Request(Dest;Depart)
MUL1863	6	I will be going to Cambridge. I would like to arrive by 12:30.	Train-Inform(Dest=cambridge;Arrive=12:30)
MUL1863	8	Departure time doesn't matter to me.	Train-Request(Leave)
MUL1863	10	Yes, please book a ticket for me.  What's the travel time for this train trip?	Train-Request(Duration)
MUL1863	12	What is the departure time of my train?	Train-Request(Leave)
MUL1863	13	I am sorry the departure time on that train is 05:19 and you will be arriving at 06:09. Sorry got the two confused.	Train-Inform(Arrive=06:09;Leave=05:19)
MUL1863	14	Thank you have a nice day. 	general-thank()
MUL1863	15	You're welcome. Have a nice day!	general-welcome()
MUL0325	0	Hi! Can I get some info on a cheap place to eat?	Restaurant-Inform(Price=cheap)
MUL0325	2	Do any of those places serve romanian food? I'm in the mood for polenta!	Restaurant-Inform(Food=romanian)
MUL0325	4	Do any of those places serve vietnamese food? 	Restaurant-Inform(Food=vietnamese)
MUL0325	6	What is the postcode?	Restaurant-Request(Post)
MUL0325	8	Maybe later. I need a train ticket to Peterborough on Thursday.	Train-Inform(Dest=peterborough;Day=thursday)
MUL0325	10	I'd like to go from Cambridge to Peterborough and arrive by 13:15.	Train-Inform(Depart=cambridge;Dest=peterborough;Arrive=13:15)
MUL0325	11	We have the TR8954 that arrives at 12:56. Does that work?	Train-Inform(Arrive=12:56;Id=TR8954)
MUL0325	12	Yes. I just need to know the departure time, train ID, and the travel time.	Train-Request(Duration;TrainID;Leave)
MUL0325	13	departure time is 12:06, train id TR8954, and the travel time is 50 minutes.	Train-Inform(Id=TR8954;Leave=12:06;Time=50 minutes)
MUL0325	14	I think that is everything, thanks for the help!	general-thank()
SNG0849	0	Can you navigate me to a 5 star hotel with free wifi please?	Hotel-Inform(Stars=5;Internet=yes)
SNG0849	1	I was unable to find any hotels matching those requirements. 	Hotel-NoOffer(Type=hotels)
SNG0849	2	Do you have a place with free wifi in the cheap range with a star of 4?	Hotel-Inform(Stars=4)
SNG0849	4	What type of hotels are they?	Hotel-Request(Type)
SNG0849	6	looking for something with 5 stars and free wifi	Hotel-Inform(Internet=yes)
SNG0849	8	Sorry, how silly of me. I want to stay at a hotel, not a guesthouse. A cheap 4 star with free wifi, please.	Hotel-Inform(Stars=4;Internet=yes;Price=cheap;Type=hotel)
SNG0849	10	I don't need it booked just yet.  I just needed the info, thanks.	general-thank()
SNG0849	11	All right. Is there anything else I can do for you?	general-reqmore()
SNG0849	12	No, thank you for your patience.  I am all set now.  Bye.	general-bye()
SNG0849	13	Great! Have a wonderful day! Goodbye! 	general-bye()
SNG0848	0	Good Afternoon, I am looking for a place to stay on the east side in a guest house	Hotel-Inform(Area=east)
SNG0848	2	Can you see if any of them offer free parking? 	Hotel-Inform(Parking=yes)
SNG0848	6	I would consider both.  I need to book for three people and 5 nights starting on Thursday.  Can either of them offer that?	Hotel-Inform(Stay=5;People=1;Day=thursday)
SNG0848	10	No, that will be all. Thanks!	general-thank()
SNG0848	11	You're welcome. Goodbye!	general-bye()
SNG0453	0	I am looking for an expensive restaurant in the west.	Restaurant-Inform(Area=west;Price=expensive)
SNG0453	1	Graffiti is an expensive restaurant in the west that is available.	Restaurant-Inform(Price=expensive;Area=west;Name=Graffiti)
SNG0453	2	What kind of foods do they serve there? And I would like an address and the postal code as well please. Do you also have reviews of Graffiti, from locals? 	Restaurant-Request(Post;Food;Addr)
SNG0453	3	Graffiti serves British food. The postcode is cb30lx. The address is Hotel Felix Whitehouse Lane Huntingdon Road. Reviews are not available in our database.	Restaurant-Inform(Addr=Hotel Felix Whitehouse Lane Huntingdon Road;Name=Graffiti;Food=British;Post=cb30lx)
SNG0453	4	Okay thank you for your time.	general-thank()
SNG0453	5	Thank you! Have a great day!	general-bye()
SNG0841	0	I am looking for a hotel called Aylesbray Lodge Guest House.	Hotel-Inform(Name=aylesbray lodge guest house)
SNG0841	2	Great I am going to need that hotel for 7 people and two nights starting sunday	Hotel-Inform(Stay=2;People=7;Day=sunday)
SNG0841	4	Yes, 1 night is fine.	Hotel-Inform(Stay=1)
SNG0841	5	Great, you're all set. Your reference number is WK3E72PX	Booking-Book(Ref=WK3E72PX)
SNG0841	6	Thank you. Good-bye.	general-bye()
SNG0841	7	thank you very much bye	general-bye()
SNG0840	0	I need a five starts hotel close to a mall and main restaurants. The hotel should include free wifi in the room.	Hotel-Inform(Stars=5;Internet=yes)
SNG0840	2	How about something with 4 stars and something expensive.	Hotel-Inform(Stars=4;Price=expensive)
SNG0840	4	Maybe.  Is either one a 4 star hotel?  If so, I'd like to book a room for 4 nights.	Hotel-Inform(Stars=4)
SNG0840	7	How many are in your party?	Booking-Request(People)
SNG0840	10	Will you try Sunday arrival?	Hotel-Inform(Day=sunday)
SNG0840	12	Yes, can you try it for 3 nights, please.	Hotel-Inform(Stay=3)
SNG0840	14	I may have been confusing you.  Could you try and book a 4 star, expensive hotel for 3 nights, starting on Saturday? 3 people.  Wifi please.	Hotel-Inform(Stay=3;Price=expensive;People=3;Day=saturday)
SNG0840	16	Whew, thanks, sorry for all of the confusion. I think that covers everything. thanks so much for the help.	general-thank()
SNG0843	0	Good evening. Can you help me find a guesthouse to stay at for the weekend?	Hotel-Inform(Type=guesthouse)
SNG0843	1	acorn guest house is in the north part of town and available, when would you like to stay?	Hotel-Recommend(Area=north part of town;Name=acorn guest house)
SNG0843	3	Yes, it does! It also has free parking.	Hotel-Inform(Internet;Parking)
SNG0843	4	Could I get the phone number for them.	Hotel-Request(Phone)
SNG0843	5	Phone number is 01223353888.	Hotel-Inform(Phone=01223353888)
SNG0843	6	Thanks. Oh, I forgot to ask, is that in the moderate price range?	general-thank()
SNG0843	8	No, I'll have to think about it. Thanks though. Bye!	general-bye()
SNG0843	9	You're quite welcome. Thanks for contacting the Cambridge TownInfo Centre and have a great day!	general-bye()
PMUL1529	2	I'll be in the east.  I need free wifi and free parking.  I'd prefer something 4 star.	Hotel-Inform(Stars=4;Area=east;Parking=yes;Internet=yes)
PMUL1529	4	No that is not an issue. Could I get their phone number of one you recommend.	Hotel-Request(Phone)
PMUL1529	6	Thank you. I also need a train from Birmingham new street on Sunday.	Train-Inform(Depart=birmingham new street;Day=sunday)
PMUL1529	7	Did you have a time you would like to arrive or leave?	Train-Request(Leave;Arrive)
PMUL1529	9	Do you have a specific arrival time you need. 	Train-Request(Arrive)
PMUL1529	10	The train should leave after 20:30 and should go to cambridge.	Train-Inform(Dest=cambridge;Leave=20:30)
PMUL1529	11	Train TR2274 leaves Birmingham New Street at 20:40 and arrives at Cambridge at 23:23. Would that work for you? 	Train-Inform(Leave=20:40;Depart=Birmingham New Street;Arrive=23:23;Id=TR2274;Dest=Cambridge)
PMUL1529	12	What is the travel time?	Train-Request(Duration)
PMUL1529	14	Not at this time, Thank you.	general-thank()
PMUL1529	15	Have a nice day.	general-bye()
SNG0845	0	I am looking for a hotel that is expensive and has free parking. 	Hotel-Inform(Parking=yes;Price=expensive;Type=hotel)
SNG0845	2	I'm looking for a guesthouse in the east side of town.	Hotel-Inform(Area=east;Type=guesthouse)
SNG0845	3	I am afraid I have nothing available with those specifications. Would you like a different are or a hotel?	Hotel-NoOffer()
SNG0845	4	Are there any moderately priced guesthouses in that part of town?	Hotel-Inform(Price=moderate;Type=guesthouse)
SNG0845	6	Yes, could you see if either of them have availability starting on Tuesday for 5 nights for 5 people?	Hotel-Inform(Stay=5;People=5;Day=tuesday)
SNG0845	8	Thanks, that's great. I think I'm done for today.	general-thank()
SNG0844	0	Could you help me find a hotel on the west side with free WiFi? 	Hotel-Inform(Area=west;Internet=yes;Type=hotel)
SNG0844	2	Price doesn't matter, really. But I would like to get free parking too, in addition to the wifi please.	Hotel-Inform(Parking=yes;Internet=yes)
SNG0844	4	Is that a hotel? I need a hotel and not a guesthouse. 	Hotel-Inform(Type=hotel;Name=the cambridge belfry)
SNG0844	6	That would be great, thanks. We'll be arriving on Sunday.	Hotel-Inform(Day=sunday)
SNG0844	7	How many people are staying, and for how many days?	Booking-Request(People;Stay;Day)
SNG0844	8	6 people for 4 nights.	Hotel-Inform(Stay=4;People=6)
SNG0844	10	How about two nights?	Hotel-Inform(Stay=2)
SNG0844	12	Thanks so much. That's it for today. Goodbye.	general-bye()
SNG0844	13	I'm glad I could help. Enjoy your stay.	general-greet()
SNG0847	0	I need to find a 4 star hotel that has moderate price.	Hotel-Inform(Stars=4;Price=moderate)
SNG0847	1	There are 11 possible choices. Do you have any additional preferences?	Hotel-Inform(Choice=11)
SNG0847	2	Yes I would like it to be on the North part of town.	Hotel-Inform(Area=north)
SNG0847	3	There are quite a few guesthouses in that area.  Would a guesthouse meet your needs?	Hotel-Inform(Choice=quite a few;Type=guesthouses)
SNG0847	5	Yes, the Acorn Guest House has internet.	Hotel-Inform(Name=the Acorn Guest House;Internet)
SNG0847	6	Great, that's perfect. Thanks for your help!	general-thank()
SNG0847	8	No that's all for now. Thank you. 	general-thank()
SNG0847	9	Have a great day!	general-bye()
SNG0846	0	Would you happen to have information on the Lovell Lodge?	Hotel-Inform(Name=lovell lodge)
SNG0846	2	Can I get the phone number and address please? 	Hotel-Request(Phone;Addr)
SNG0846	4	No, thank you. That's all I need.	general-thank()
SNG0846	5	All right, thanks for contacting the Cambridge TownInfo Centre and have a great day!	general-bye()
SNG0450	0	I am looking for a train that goes to london liverpool street and leaves after 17:15.	Train-Inform(Dest=london liverpool street;Leave=17:15)
SNG0450	1	I can certainly help you with that. Which day did you have in mind to travel?	Train-Request(Day)
SNG0450	2	I want to leave on Friday.	Train-Inform(Day=friday)
SNG0450	3	Unfortunately, the only train I have matching your criteria is one leaving 23:59 and arriving at 01:27 in the morning. Did you want to book that?	Train-OfferBook(Arrive=01:27;Leave=23:59)
SNG0450	4	Yes that's fine. I'll take 8 tickets for that train please.	Train-Inform(People=8)
SNG0450	6	Nope, that is everything. Thank you so much!	general-thank()
SNG0450	7	Have a great day!	general-bye()
SNG0593	0	Hi, can you look up Darrys Cookhouse and Wine Shop for me?	Restaurant-Inform(Name=darrys cookhouse and wine shop)
SNG0593	2	That's it.  Can you make a reservation for me?  There are 5 of us and we would like to reserve Sunday at 11:45 if possible.	Restaurant-Inform(Time=11:45;People=5;Day=sunday)
SNG0593	3	Reservation made. The reference number is FIQY6RR9.	Booking-Book(Ref=FIQY6RR9)
SNG0593	4	Thank you for the helpful information!	general-thank()
SNG0593	5	No problem at all. What else can I do for you? 	general-reqmore()
SNG0593	6	That is all, thanks. Have a nice day. Bye!	general-bye()
SNG0593	7	You as well! Goodbye! 	general-bye()
SNG0592	0	I'm looking for cheap food in the centre.	Restaurant-Inform(Area=centre;Price=cheap)
SNG0592	2	I think I'd like French food please. 	Restaurant-Inform(Food=french)
SNG0592	3	I'm sorry there are no cheap French restaurants in the central area.	Restaurant-NoOffer(Food=French;Price=cheap;Area=central area)
SNG0592	4	What about an Indian restaurant?	Restaurant-Inform(Food=indian)
SNG0592	6	Great yes please book me a table there for 4 people at 11:00 on tuesday.	Restaurant-Inform(Time=11:00;People=4;Day=tuesday)
SNG0592	8	That will be all. Thank you very much.	general-thank()
SNG0592	9	You are welcome. Have a nice day.	general-bye()
SNG0591	0	I am looking for a restaurant in the centre of town in the cheap price range.	Restaurant-Inform(Area=centre;Price=cheap)
SNG0591	2	No preference. Can you recommend me one and give me their postcode and phone number? Thanks!	Restaurant-Request(Post;Phone)
SNG0591	4	No thank you not at this time.	general-thank()
SNG0591	6	Nope you gave me everything I wanted to know. Thanks bye!	general-bye()
SNG0591	7	Okay.  Glad to have helped!	general-bye()
SNG0590	0	I'd like to find some expensive Mexican cuisine.	Restaurant-Inform(Food=mexican;Price=expensive)
SNG0590	3	Okay, is there a particular day and time that would work for you?	Booking-Request(Day;Time)
SNG0590	4	Yes I would like it made for Wednesday for 7 people at 18:30 please.	Restaurant-Inform(Time=18:30;People=7;Day=wednesday)
SNG0590	5	Booked! Your table will be held for 15 minutes. Reference number is C3HMWGUS.	Booking-Book(Ref=C3HMWGUS)
SNG0590	6	That's great. Thank you very much.	general-thank()
SNG0590	7	Is there anything else I can do for you?	general-reqmore()
SNG0590	8	That's it for now. Thanks.	general-thank()
SNG0590	9	Enjoy your dinner. Thank you for calling Cambridge TownInfo Centre. Goodbye.	general-bye()
